id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
l2-standard-bridged-weth-base,2298.87,527651121,3.50373,2317.78,2165.34,4096.05,2021.76,06-03-2025 17-03-26
pancakeswap-token,1.8,519616860,0.52673,1.82,1.75,43.96,0.194441,06-03-2025 17-03-26
honey-3,0.999982,517761724,-0.02027,1.016,0.987428,1.11,0.916153,06-03-2025 17-03-26
conflux-token,0.103958,512724941,2.79674,0.104624,0.098587,1.7,0.02199898,06-03-2025 17-03-26
chain-2,0.015552,511650107,-1.0778,0.01598443,0.01515646,0.184139,0.0007055,06-03-2025 17-03-26
aerodrome-finance,0.642409,507906277,7.27109,0.666422,0.581309,2.32,1.861e-05,06-03-2025 17-03-26
arbitrum-bridged-weth-arbitrum-one,2298.76,504474820,3.49848,2316.31,2167.42,4097.16,2016.27,06-03-2025 17-03-26
dydx-chain,0.676054,504211777,3.99876,0.677884,0.62667,4.52,0.574778,06-03-2025 17-03-26
beldex,0.072027,498156715,-1.19984,0.073428,0.071726,0.450785,0.00027519,06-03-2025 17-03-26
arweave,7.59,497371859,-0.21212,7.76,7.32,89.24,0.298788,06-03-2025 17-03-26
kava,0.45897,497001476,6.58064,0.465053,0.429962,9.12,0.247359,06-03-2025 17-03-26
frax,0.996359,495358439,-0.00478,0.996854,0.996203,1.14,0.874536,06-03-2025 17-03-26
true-usd,0.99785,494481146,0.08267,0.999826,0.995143,1.62,0.88355,06-03-2025 17-03-26
coredaoorg,0.48954,487798736,1.89826,0.489579,0.473112,6.14,0.334237,06-03-2025 17-03-26
spx6900,0.513276,477856751,10.74354,0.511968,0.450917,1.72,0.00131808,06-03-2025 17-03-26
bitcoin-avalanche-bridged-btc-b,91419.0,471152809,1.75519,92746.0,87740.0,108820.0,7806.11,06-03-2025 17-03-26
ether-fi-staked-eth,2295.29,470709301,3.02329,2312.81,2166.92,5307.23,2016.04,06-03-2025 17-03-26
ecash,2.371e-05,470148820,3.75657,2.468e-05,2.283e-05,0.00038001,1.847e-05,06-03-2025 17-03-26
apecoin,0.584051,467364625,3.5019,0.591714,0.547954,26.7,0.482009,06-03-2025 17-03-26
chiliz,0.04937963,465933400,1.94373,0.04956015,0.047577,0.878633,0.00410887,06-03-2025 17-03-26
